"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"1/21/2026","1/21/2026","1/22/2026","GOOGL","GOOGL 2/20/2026 Put $310.00","STO","1","$6.00","$599.95"
"1/21/2026","1/21/2026","1/22/2026","SOFI","SOFI 1/30/2026 Call $29.00","BTC","3","$0.30","($90.12)"
"1/21/2026","1/21/2026","1/22/2026","AMZN","AMZN 2/20/2026 Put $220.00","STO","1","$6.30","$629.95"
"1/20/2026","1/20/2026","1/21/2026","TQQQ","TQQQ 2/20/2026 Put $46.00","STO","1","$1.65","$164.95"
"1/20/2026","1/20/2026","1/21/2026","HOOD","HOOD 2/13/2026 Put $100.00","STO","1","$4.25","$424.95"
"1/16/2026","1/16/2026","1/20/2026","AMZN","AMZN 1/16/2026 Call $230.00","OASGN","1","",""
"1/16/2026","1/16/2026","1/20/2026","AMZN","Amazon
CUSIP: 023135106
1 AMZN Option Assigned","Sell","100","$230.00","$22,999.98"
"1/16/2026","1/16/2026","1/20/2026","PLTR","PLTR 1/16/2026 Put $180.00","OASGN","1","",""
"1/16/2026","1/16/2026","1/20/2026","PLTR","Palantir Technologies
CUSIP: 69608A108
1 PLTR Option Assigned","Buy","100","$180.00","($18,000.00)"
"1/16/2026","1/16/2026","1/20/2026","TNA","TNA 1/16/2026 Call $50.00","OASGN","1","",""
"1/16/2026","1/16/2026","1/20/2026","TNA","Direxion Daily Small Cap Bull 3x ETF
CUSIP: 25459W847
1 TNA Option Assigned","Sell","100","$50.00","$4,999.98"
"1/16/2026","1/16/2026","1/20/2026","BITX","BITX 1/16/2026 Call $30.00","OASGN","3","",""
"1/16/2026","1/16/2026","1/20/2026","BITX","2x Bitcoin Strategy ETF
CUSIP: 92864M301
3 BITX Options Assigned","Sell","300","$30.00","$8,999.94"
"1/16/2026","1/16/2026","1/20/2026","TNA","TNA 1/16/2026 Call $53.00","OASGN","1","",""
"1/16/2026","1/16/2026","1/20/2026","TNA","Direxion Daily Small Cap Bull 3x ETF
CUSIP: 25459W847
1 TNA Option Assigned","Sell","100","$53.00","$5,299.98"
"1/16/2026","1/16/2026","1/20/2026","PLTR","PLTR 2/13/2026 Put $155.00","STO","1","$5.20","$519.95"
"1/16/2026","1/16/2026","1/20/2026","HOOD","HOOD 1/30/2026 Call $127.00","BTC","1","$0.36","($36.04)"
"1/15/2026","1/15/2026","1/20/2026","","ACH Deposit","ACH","","","$40,000.00"
"1/15/2026","1/15/2026","1/16/2026","HOOD","HOOD 2/6/2026 Call $134.00","BTC","1","$0.66","($66.04)"
"1/15/2026","1/15/2026","1/16/2026","HOOD","HOOD 1/16/2026 Put $118.00","BTC","1","$3.42","($342.04)"
"1/15/2026","1/15/2026","1/16/2026","HOOD","HOOD 2/13/2026 Put $118.00","STO","1","$9.52","$951.95"
"1/15/2026","1/15/2026","1/16/2026","TQQQ","TQQQ 1/16/2026 Put $54.00","BTC","1","$0.17","($17.04)"
"1/14/2026","1/14/2026","1/15/2026","TQQQ","TQQQ 2/13/2026 Put $47.00","STO","1","$1.58","$157.95"
"1/14/2026","1/14/2026","1/15/2026","BMNR","BMNR 2/6/2026 Put $30.00","STO","2","$1.89","$377.91"
"1/14/2026","1/14/2026","1/15/2026","BMNR","BMNR 1/30/2026 Put $30.00","BTC","2","$1.44","($288.08)"
"1/14/2026","1/14/2026","1/15/2026","BMNR","BMNR 1/30/2026 Put $24.00","BTC","2","$0.38","($76.08)"
"1/13/2026","1/13/2026","1/14/2026","SOFI","SOFI 2/13/2026 Put $25.00","STO","3","$1.06","$317.87"
"1/12/2026","1/12/2026","1/13/2026","AAPL","AAPL 1/30/2026 Put $255.00","STO","1","$4.05","$404.95"
"1/12/2026","1/12/2026","1/13/2026","GOOGL","GOOGL 2/6/2026 Put $310.00","STO","1","$5.25","$524.95"
"1/12/2026","1/12/2026","1/13/2026","TQQQ","TQQQ 1/30/2026 Put $53.00","STO","1","$1.32","$131.95"
"1/9/2026","1/9/2026","1/12/2026","PLTR","PLTR 1/16/2026 Put $180.00","STO","1","$5.49","$548.95"
"1/9/2026","1/9/2026","1/12/2026","PLTR","PLTR 1/9/2026 Put $180.00","BTC","1","$2.59","($259.04)"
"1/9/2026","1/9/2026","1/12/2026","HOOD","HOOD 2/13/2026 Put $121.00","STO","1","$11.54","$1,153.95"
"1/9/2026","1/9/2026","1/12/2026","HOOD","HOOD 1/9/2026 Put $121.00","BTC","1","$5.17","($517.04)"
"1/9/2026","1/9/2026","1/12/2026","HOOD","HOOD 1/9/2026 Put $118.00","BTC","1","$2.31","($231.04)"
"1/9/2026","1/9/2026","1/12/2026","HOOD","HOOD 1/16/2026 Put $118.00","STO","1","$4.46","$445.95"
"1/9/2026","1/9/2026","1/12/2026","TQQQ","TQQQ 1/16/2026 Put $50.00","BTC","2","$0.16","($32.08)"
"1/8/2026","1/8/2026","1/9/2026","HOOD","HOOD 2/13/2026 Put $108.00","STO","1","$5.20","$519.95"
"1/8/2026","1/8/2026","1/9/2026","HOOD","HOOD 2/13/2026 Call $125.00","STO","2","$5.80","$1,159.91"
"1/8/2026","1/8/2026","1/9/2026","HOOD","HOOD 2/13/2026 Call $125.00","STO","1","$6.00","$599.95"
"1/7/2026","1/7/2026","1/7/2026","BITX","Stock Lending","SLIP","","","$0.20"
"1/7/2026","1/7/2026","1/7/2026","GRNY","Stock Lending","SLIP","","","$0.01"
"1/7/2026","1/7/2026","1/8/2026","HOOD","HOOD 1/9/2026 Put $124.00","BTC","1","$5.48","($548.04)"
"1/7/2026","1/7/2026","1/8/2026","HOOD","HOOD 1/30/2026 Put $124.00","STO","1","$8.89","$888.95"
"1/7/2026","1/7/2026","1/8/2026","PLTR","PLTR 1/16/2026 Put $155.00","BTC","1","$0.26","($26.04)"
"1/7/2026","1/7/2026","1/8/2026","PLTR","PLTR 2/6/2026 Put $170.00","STO","1","$6.00","$599.95"
"1/7/2026","1/7/2026","1/8/2026","SOFI","SOFI 1/30/2026 Call $32.00","BTC","1","$0.39","($39.04)"
"1/7/2026","1/7/2026","1/8/2026","SOFI","SOFI 1/30/2026 Call $32.00","BTC","1","$0.39","($39.04)"
"1/7/2026","1/7/2026","1/8/2026","SOFI","SOFI 1/9/2026 Call $29.00","BTC","2","$0.05","($10.08)"
"1/7/2026","1/7/2026","1/8/2026","TQQQ","TQQQ 1/9/2026 Put $48.00","BTC","1","$0.04","($4.04)"
"1/6/2026","1/6/2026","1/7/2026","HOOD","HOOD 2/6/2026 Call $134.00","STO","1","$3.05","$304.95"
"1/6/2026","1/6/2026","1/7/2026","TQQQ","TQQQ 1/30/2026 Put $50.00","STO","1","$1.28","$127.95"
"1/6/2026","1/6/2026","1/7/2026","BMNR","BMNR 2/6/2026 Put $42.00","STO","1","$10.95","$1,094.95"
"1/6/2026","1/6/2026","1/7/2026","BMNR","BMNR 1/16/2026 Put $42.00","BTC","1","$10.45","($1,045.04)"
"1/6/2026","1/6/2026","1/7/2026","ETHU","ETHU 2/6/2026 Put $70.00","STO","1","$11.68","$1,167.95"
"1/6/2026","1/6/2026","1/7/2026","ETHU","ETHU 1/16/2026 Put $70.00","BTC","1","$8.52","($852.04)"
"1/5/2026","1/5/2026","1/6/2026","BMNR","BMNR 1/30/2026 Call $40.00","STO","1","$1.25","$124.95"
"1/5/2026","1/5/2026","1/6/2026","BMNR","BMNR 1/30/2026 Call $40.00","STO","1","$1.26","$125.95"
"1/5/2026","1/5/2026","1/6/2026","SOFI","SOFI 1/30/2026 Put $25.00","BTC","3","$0.47","($141.12)"
"1/5/2026","1/5/2026","1/6/2026","SOFI","SOFI 1/30/2026 Call $32.00","STO","2","$1.16","$231.91"
"1/5/2026","1/5/2026","1/6/2026","SOFI","SOFI 1/15/2027 Call $25.00","STC","1","$10.00","$999.95"
"1/5/2026","1/5/2026","1/6/2026","BMNR","BMNR 1/30/2026 Put $30.00","STO","2","$1.90","$379.91"
"1/5/2026","1/5/2026","1/6/2026","BMNR","BMNR 1/16/2026 Put $30.00","BTC","2","$1.10","($220.08)"
"1/2/2026","1/2/2026","1/5/2026","BMNR","BMNR 1/23/2026 Call $40.00","BTC","3","$0.54","($162.06)"
"1/2/2026","1/2/2026","1/5/2026","TQQQ","TQQQ 1/2/2026 Put $54.00","BTC","1","$1.50","($150.02)"
"1/2/2026","1/2/2026","1/5/2026","TQQQ","TQQQ 1/16/2026 Put $54.00","STO","1","$2.70","$269.97"
"1/2/2026","1/2/2026","1/5/2026","PLTR","PLTR 1/16/2026 Put $155.00","STO","1","$1.91","$190.97"
"1/2/2026","1/2/2026","1/5/2026","BMNR","BMNR 1/23/2026 Call $40.00","BTC","2","$0.37","($74.04)"
"1/2/2026","1/2/2026","1/5/2026","SOFI","SOFI 1/30/2026 Put $25.00","STO","5","$1.14","$569.88"
"1/2/2026","1/2/2026","1/5/2026","BMNR","BMNR 1/30/2026 Put $24.00","STO","2","$0.95","$189.95"
"1/2/2026","1/2/2026","1/5/2026","","ACH Withdrawal","ACH","","","($10,000.00)"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
